TICKER,EX_DIVIDEND,DATE_PAYEMENT,VALUE
CRI,2021-04-13,2021-04-30,"1,04"
CS,2023-05-08,2023-05-10,"1,7"
CS,2022-05-06,2022-05-10,"1,54"
CS,2021-05-07,2021-05-11,"1,43"
CS,2020-07-07,2020-07-09,"0,73"
CS,2019-05-02,2019-05-06,"1,34"
DBG,2024-02-14,2024-02-16,"0,16"
DBG,2023-02-14,2023-02-16,"0,32"
DBG,2022-02-04,2022-02-08,"0,32"
DBG,2020-02-07,2020-02-11,"0,11"
DBG,2019-02-12,2019-02-14,"0,14"
DEC,2019-05-21,2019-05-23,"0,58"
DEC,2018-05-22,2018-05-24,"0,56"
DEC,2017-05-16,2017-05-18,"0,56"
DEC,2016-05-24,2016-05-26,"0,56"
DEC,2015-05-18,2015-05-20,"0,5"
DG,2023-11-14,2023-11-16,"1,05"
DG,2023-04-25,2023-04-27,"3,0"
DG,2022-11-15,2022-11-17,"1,0"
DG,2022-04-26,2022-04-28,"2,25"
DG,2021-11-16,2021-11-18,"0,65"
DIM,2024-03-30,2024-04-03,"1,44"
DIM,2023-03-30,2023-04-03,"1,44"
DIM,2022-03-31,2022-04-04,"1,26"
DIM,2021-03-29,2021-03-31,"0,68"
DIM,2020-06-29,2020-07-01,"0,34"
DKUPL,2023-06-21,2023-06-23,"0,88"
DKUPL,2022-06-22,2022-06-24,"0,88"
DKUPL,2021-06-23,2021-06-25,"0,81"
DKUPL,2020-12-16,2020-12-18,"0,45"
DKUPL,2018-06-20,2018-06-22,"1,0"
DSY,2023-05-26,2023-05-31,"0,21"
DSY,2022-05-23,2022-05-25,"0,17"
DSY,2021-05-28,2021-06-01,"0,11"
DSY,2020-05-28,2020-06-02,"0,14"
DSY,2019-05-29,2019-05-31,"0,13"
EDEN,2023-06-07,2023-06-09,"1,0"
EDEN,2022-06-07,2022-06-09,"0,9"
EDEN,2021-05-14,2021-06-09,"0,75"
EDEN,2020-05-13,2020-06-05,"0,7"
EDEN,2019-05-20,2019-06-11,"0,86"
EL,2023-05-22,2023-06-13,"3,23"
EL,2022-05-27,2022-06-21,"2,51"
EL,2021-05-28,2021-06-21,"1,08"
EL,2020-12-23,2020-12-28,"1,15"
EL,2019-05-21,2019-05-23,"2,04"
ELIOR,2020-04-07,2020-04-09,"0,29"
ELIOR,2019-03-27,2019-04-16,"0,34"
ELIOR,2018-03-14,2018-04-17,"0,42"
ELIOR,2017-04-10,2017-04-12,"0,42"
ELIOR,2016-04-11,2016-04-13,"0,32"
ELIS,2023-05-30,2023-06-22,"0,41"
ELIS,2022-05-25,2022-06-16,"0,37"
ELIS,2019-05-27,2019-05-29,"0,37"
ELIS,2018-05-29,2018-05-31,"0,37"
ELIS,2017-05-29,2017-05-31,"0,37"
EN,2023-05-03,2023-05-05,"1,8"
EN,2022-05-03,2022-05-05,"1,8"
EN,2021-05-04,2021-05-06,"1,7"
EN,2020-09-09,2020-09-11,"1,7"
EN,2019-05-01,2019-05-03,"1,7"
ENGI,2023-05-01,2023-05-03,"1,4"
ENGI,2022-04-25,2022-04-27,"0,85"
ENGI,2021-05-24,2021-05-26,"0,53"
ENGI,2019-05-21,2019-05-23,"0,38"
EQS,2023-06-30,2023-07-04,"1,05"
EQS,2022-06-30,2022-07-04,"1,05"
EQS,2021-07-01,2021-07-05,"0,95"
EQS,2020-07-01,2020-07-03,"0,9"
EQS,2019-07-01,2019-07-03,"0,85"
ERA,2023-05-26,2023-05-30,"3,5"
ERA,2022-06-03,2022-06-07,"2,5"
ERA,2019-05-29,2019-05-31,"0,6"
ERA,2018-05-29,2018-05-31,"2,3"
ERA,2013-05-21,2013-05-23,"1,3"
ERF,2023-07-03,2023-07-06,"1,0"
ERF,2022-07-05,2022-07-07,"1,0"
ERF,2021-07-01,2021-07-05,"0,68"
ERF,2019-07-03,2019-07-05,"2,88"
ERF,2018-06-28,2018-07-02,"2,4"
ES,2023-07-10,2023-07-12,"2,0"
ES,2018-07-10,2018-07-12,"1,5"
ES,2013-07-08,2013-07-11,"2,0"
ES,2012-07-09,2012-07-12,"2,0"
ES,2011-09-26,2011-09-29,"2,0"
ETL,2022-11-17,2022-12-16,"0,93"
ETL,2021-11-16,2021-11-18,"0,93"
ETL,2020-11-20,2020-11-24,"0,89"
ETL,2019-11-21,2019-11-25,"1,27"
ETL,2018-11-20,2018-11-22,"1,27"
EXA,2021-06-23,2021-06-25,"0,32"
EXA,2020-07-01,2020-07-03,"0,32"
EXA,2019-07-04,2019-07-08,"0,32"
EXA,2018-06-19,2018-06-21,"0,32"
EXA,2015-06-26,2015-06-30,"0,32"
FDJ,2023-05-05,2023-05-09,"1,37"
FDJ,2022-05-02,2022-05-04,"1,24"
FDJ,2021-06-21,2021-06-23,"0,9"
FDJ,2020-06-26,2020-06-30,"0,45"
FGR,2023-05-15,2023-05-17,"3,6"
FGR,2022-05-16,2022-05-18,"3,1"
FGR,2021-05-17,2021-05-19,"3,0"
FGR,2019-05-21,2019-05-23,"2,4"
FGR,2018-05-22,2018-05-24,"2,0"
FII,2023-04-17,2023-04-19,"0,15"
FII,2022-05-04,2022-05-06,"0,29"
FII,2021-05-03,2021-05-05,"0,14"
FII,2019-05-01,2019-05-03,"0,44"
FII,2018-05-02,2018-05-04,"0,48"
FNAC,2023-06-13,2023-07-06,"1,4"
FNAC,2022-06-21,2022-06-23,"2,0"
FNAC,2021-07-02,2021-07-07,"1,0"
FNAC,2020-06-04,2020-07-03,"1,5"
FR,2023-05-26,2023-05-31,"0,38"
FR,2022-05-27,2022-05-31,"0,35"
FR,2021-05-28,2021-06-01,"0,3"
FR,2020-06-29,2020-07-01,"0,2"
FR,2019-05-30,2019-06-03,"1,25"
FRVIA,2021-06-03,2021-06-07,"1,0"
FRVIA,2019-05-31,2019-06-04,"1,25"
FRVIA,2018-06-01,2018-06-05,"1,1"
FRVIA,2017-06-02,2017-06-06,"0,9"
FRVIA,2016-06-01,2016-06-03,"0,65"
GBT,2023-06-29,2023-07-03,"0,5"
GBT,2022-07-01,2022-07-05,"0,85"
GBT,2021-06-29,2021-07-01,"0,7"
GBT,2020-06-30,2020-07-02,"0,7"
GBT,2019-06-03,2019-06-05,"0,85"
GET,2023-05-30,2023-06-05,"0,5"
GET,2022-05-27,2022-06-03,"0,1"
GET,2021-05-28,2021-06-04,"0,05"
GET,2019-05-23,2019-05-28,"0,36"
GET,2018-05-22,2018-05-24,"0,3"
GFC,2024-03-06,2024-03-08,"2,6"
GFC,2023-07-03,2023-07-05,"2,65"
GFC,2023-03-06,2023-03-08,"2,65"
GFC,2022-07-01,2022-07-06,"2,65"
GFC,2022-03-01,2022-03-03,"2,65"
GLE,2023-05-30,2023-06-01,"1,7"
GLE,2022-05-25,2022-05-27,"1,65"
GLE,2021-05-25,2021-05-27,"0,55"
GLE,2019-05-24,2019-06-14,"2,2"
GLE,2018-05-30,2018-06-01,"2,2"
